"sample","taxon","mass"
"E01","Hamelida sp.",5.85
"E01","Coraline algae",57.88
"E01","Foraminifera",1.32
"E01","Alcyonacea",0.88
"E01","Scleractinia",8.67
"E01","Tube worms",6.39
"E01","Bryozoa",0.07
"E01","Bivalvia",30.95
"E01","Gastropoda",44.7
"E01","Decapoda",1.32
"E01","Cirripedia",0.04
"E01","Echinodermata",0.15
"E01","Residue",11.42
"E03","Rough Coral",33.301
"E03","Smooth Coral",13.63
"E03","Forams: Marginopera",3.968
"E03","Forams: Halimeda",3.997
"E03","Worm Tubes",1.318
"E03","Red Worm Tubes",0.249
"E03","Echinoderms",0.566
"E03","Gastropods",24.408
"E03","Bivalves",22.145
"E03","Chiton",0.42
"E03","Crab",2.057
"E03","Residue",21.521
"E04","Hamelida",3.64
"E04","Coraline Algae",31.1
"E04","Coraline Algae",18.5
"E04","Soft coral",0.21
"E04","Tube worm",0.14
"E04","Scleractinia",0.12
"E04","Gastropoda",25.08
"E04","Echinoderm",0.04
"E04","Scaphopod",0.19
"E04","Foram",1.82
"E04","Decapoda",2.11
"E04","Bivalvia",22.38
"E04","Unsorted",22.21
"E05","Coral",28.69
"E05","Forams",1.708
"E05","Echinoderms",0.087
"E05","Crab",1.9
"E05","Bivalves",30.186
"E05","Gastropoda",27.836
"E05","Worm Tubes",4.215
"E05","Coraline Algae",8.35
"E05","Holimeda",22.37
"E06","Coral",53.047
"E06","Algae",7.414
"E06","Bivalves",22.96
"E06","Gastropods",15.341
"E06","Marginopera",1.969
"E06","Halimeda",3.818
"E06","Crab",1.449
"E06","Worm Tunnel",10.272
"E06","Sea Urchin",0.009
"E06","Chitin",0.242
"E06","Residue",17.133
"E07","Crabs",1.23
"E07","Coral",2.06
"E07","Worm Tubes",13.18
"E07","Bivalves",21.79
"E07","Gastropods (Terebridae)",26.49
"E07","Gastropods (Atys)",1.43
"E07","Halamida",6.99
"E07","Forams",0.86
"E07","Predated bivalves",0.89
"E07","Opercular",0.61
"E07","Sea Urchin",0.01
"E07","Chitin",0.18
"E07","Residue",56.74
"E08","Coral ect.",54.58
"E08","Gastropods",38.78
"E08","Bivalves",19.45
"E08","Halidemeda",7.05
"E08","Marginopera",1.85
"E08","Worm Tubes",8.04
"E08","Echinodermata",1.51
"E08","Crab",1.26
"E08","Residue",1.38
"E09","Gastropoda",21.95
"E09","Declapoda",3.6
"E09","Bivalve",14.91
"E09","Bryzoa",0.009
"E09","Brachiopod",5.55
"E09","Tube worm",1.01
"E09","Foraminifera",3.14
"E09","Coraline Algae",12.85
"E09","Scleractinia",8.83
"E09","Scaphopoda",0.031
"E09","Unsorted",61.88
