ID	core	layer	fraction	replcate	mass
E01	71	90	122	1	169.7
E02	71	90	122	2	125.3
E03	71	90	122	3	127.8
E04	71	90	122	4	126.8
E05	71	91	123	1	133.3
E06	71	91	123	2	133.8
E07	71	91	123	3	134.1
E08	71	91	123	4	133.9
E09	71	91	123	5	134
E10	83	244	575	1	133.8
E11	83	244	575	2	133.1
E12	83	244	575	3	133
E13	83	244	575	4	133
E14	83	244	575	5	133
E15	83	244	575	6	133
E16	83	244	575	7	133
E17	124	269	699	1	133.1
E18	124	269	699	2	133
E19	124	269	699	3	133
E20	124	269	699	4	133
E21	124	269	699	5	133
E22	124	269	699	6	133
E23	124	269	699	7	133
E24	124	269	699	8	133.1
E25	124	269	699	9	133
E26	124	269	699	10	133.2
E27	71	90	122	5	128.3
E28	124	269	699	11	120
E29	124	258	99	1	120	
E30	124	258	99	2	122
E31	124	258	99	3	127
E32	124	258	99	4	113
E33	124	264	98	1	120	
E34	124	264	98	2	119
E35	124	264	98	3	122
E36	124	264	98	4	130
E37	124	264	98	5	121
E38	124	264	98	6	121
E39	124	264	98	7	128
E40	124	264	98	8	126
E41	83	244	575	8	126
