##	I hand edit this file so that it catches new taxon name versions.
##	Often people will put comments, citations, explainations at the top of files.
##	Check the help, to learn how to tell R to skip the first five (5) lines.
##	Since these lines do not have data in them... just comments to be difficult.
##	'badName' is names need to be changed to 'taxonName' (the name I asked them to use) 
"taxonName","badName"
"marginopora","foraminifera"
"marginopora","forams"
"marginopora","foram"
"marginopora","foraminifera (marginopera)"
"marginopora","m. vertebralis"
"marginopora","marginopera"
"marginopora","forams: marginopera"
"marginopora","foram: m.vertebralis"
"marginopora","marginoptera"
"marginopora","foraminfera"
"bivalvia","bivalve"
"bivalvia","bivalves"
"bivalvia","bivalve residue"
"bivalvia","predated bivalves"
"bivalvia","bivalves: full"
"bivalvia","bivalves: partial"
"bivalvia","oysters"
"bivalvia","molluscs (sundial)"
"bivalvia","bivalva"
"bivalvia","brachiopoda"
"bivalvia","brachiopod"
"bivalvia","bivlave"
"bivalvia","abranda"
"bivalvia","pingutellina"
"gastropoda","gastropod"
"gastropoda","gastropods"
"gastropoda","gastropod residue"
"gastropoda","gastropods (terebridae)"
"gastropoda","gastropods (atys)"
"gastropoda","mitridae"
"gastropoda","ethalia"
"gastropoda","opercular"
"gastropoda","vermitid"
"gastropoda","gastropods: full"
"gastropoda","gastropods: partial"
"gastropoda","molluscs (auger?)"
"gastropoda","molluscs (lettered olive)"
"gastropoda","gastropod c. leucodon"
"halimeda","hamelida sp."
"halimeda","halamida"
"halimeda","hamalida"
"halimeda","holimeda"
"halimeda","halidemeda"
"halimeda","forams: halimeda"
"halimeda","algae: halimeda"
"halimeda","hamelida"
"halimeda","homalida"
"halimeda","halmalida"
"halimeda","seagrass"
"halimeda","sea grass"
"echinodermata","sea urchin"
"echinodermata","echinoderms"
"echinodermata","echinoderm"
"decapoda","crab"
"decapoda","crab claws"
"decapoda","crabs"
"decapoda","crab parts"
"decapoda","crustacea"
"decapoda","declapoda"
"decapoda","crustacean parts"
"decapoda","crustaceans"
"decapoda","crustacean"
"decapoda","decopoda"
"bryozoa","bryozoans"
"bryozoa","bryazoans"
"bryozoa","bryozoan"
"bryozoa","bryzoan"
"bryozoa","bryzoa"
"scleractinia","coral"
"scleractinia","corals ect."
"scleractinia","coral ect."
"scleractinia","corals"
"scleractinia","hard coarals"
"scleractinia","coral rubble"
"scleractinia","hard coral"
"scleractinia","rough coral"
"scleractinia","branching coral"
"scleractinia","anthozoa"
"wormTube","worm tunnel"
"wormTube","worm tubes"
"wormTube","tube worm"
"wormTube","tube worms"
"wormTube","tubeworm"
"wormTube","tubeworms"
"wormTube","worm tube"
"wormTube","tube"
"wormTube","worm"
"redTube","red worm tubes"
"redTube","tubular coral"
"redTube","red tubes"
"scaphopoda","scaphopod"
"scaphopoda","scahopoda"
"scaphopoda","scaphododa"
"scaphopoda","scaphopods"
"corallineAlgae","algae"
"corallineAlgae","coraline algae"
"corallineAlgae","coralline alga"
"corallineAlgae","coralline algae"
"corallineAlgae","smooth coral"
"corallineAlgae","algal coral"
"alcyonacea","soft coral"
"polyplacophora","chitin"
"polyplacophora","chiton"
"residue","unsorted"
"residue","residual"
"residue","residuals"
"residue","residule"
