code, name
FBas, Baculogypsina sphaerulata
FCac, Calcarina capricornia
FHed, Heterostegina depressa
FAle, Amphistegina lessonii
FAlo, Amphistegina loberifera
FPpl, Peneroplis planatus
FPpe, Peneroplis pertusus
FSoo, Sorites orbiculus
FMav, Marginopera vertebralis
FNec, Neorotalia calcar

FMic, Miliolinella circularis
FEpp, Epistomaroides polystomelloides
FSpc, Spiroloculine corrugata
FQuh, Quinqueloculina haigi
FQun, Quinqueloculina neostriatula
FQub, Quinqueloculina cf bassensis
FQpa, Quinqueloculina patagonica
FQps, Quinquelocualina pseudoreticulata
FAsa, Assilina ammonoides
FNog, Nodosinum gaussicum
FCyb, Cymbaloporetta bradyi

fbas, Baculogypsina sphaerulata
fcac, Calcarina capricornia
fhed, Heterostegina depressa
fale, Amphistegina lessonii
falo, Amphistegina loberifera
fppl, Peneroplis planatus
fppe, Peneroplis pertusus
fsoo, Sorites orbiculus
fmav, Marginopera vertebralis
fnec, Neorotalia calcar
