taxonName	siteName	x_mm	y_mm	z_mm	mass_mg
Pinguitellina robusta	2nd	9.84	8.36	2.34	110.96
Pinguitellina robusta	2nd	8.02	6.63	1.55	50.57
Pinguitellina robusta	2nd	6.47	5.15	1.39	28.20
Exotica clathrata	2nd	11.18	5.87	1.55	39.60
Exotica clathrata	2nd	12.83	6.62	1.80	74.19
Exotica clathrata	2nd	10.80	5.90	1.53	45.62
Abranda jeanae	2nd	10.20	7.07	1.42	29.28
Tellina perna	2nd	14.32	9.25	2.55	79.47
Tellina perna	2nd	32.95	22.84	6.22	1641.22
Tellina perna	2nd	30.98	22.62	5.61	1440.07
Exotica clathrata	2nd	13.04	7.18	2.08	98.13
Exotica clathrata	2nd	12.14	6.52	1.80	73.17
Exotica clathrata	2nd	9.33	4.92	1.35	26.43
Fragum fragum	2nd	33.44	27.98	11.85	7854.31
Exotica clathrata	2nd	22.14	12.34	3.22	604.42
Exotica clathrata	2nd	11.91	7.09	1.71	77.50
Exotica clathrata	2nd	15.54	8.43	2.47	160.92
Exotica clathrata	2nd	13.80	7.67	2.20	106.51
Exotica clathrata	2nd	12.17	6.80	1.79	66.60
Tellina gargadia	2nd	27.67	21.34	3.10	1641.43
Abranda jeanae	2nd	7.51	5.03	1.19	15.13
Pinguitellina robusta	2nd	10.49	8.81	2.62	142.27
Pinguitellina robusta	2nd	7.34	6.00	1.84	60.47
Exotica clathrata	2nd	12.92	6.98	1.89	104.21
Exotica clathrata	2nd	13.54	7.70	1.89	129.22
Exotica clathrata	2nd	12.26	7.05	1.86	86.73
Exotica clathrata	2nd	18.78	10.20	2.49	255.08
Tellinella virgata	2nd	13.12	7.57	1.83	60.69
Tellinella virgata	2nd	13.26	7.42	1.65	66.81
Abranda jeanae	3rd	13.87	9.58	1.99	88.27
Abranda jeanae	3rd	11.22	7.90	1.70	40.62
Pinguitellina robusta	3rd	6.13	4.96	1.38	25.41
Pinguitellina robusta	3rd	8.56	7.28	1.98	69.72
Pinguitellina robusta	3rd	11.64	9.27	2.68	169.70
Exotica clathrata	3rd	9.87	5.25	1.35	25.49
Exotica clathrata	3rd	10.34	5.70	1.29	26.03
Exotica clathrata	3rd	9.09	5.19	1.24	20.17
Exotica clathrata	3rd	10.17	5.48	1.32	30.32
Exotica clathrata	3rd	9.58	5.28	1.42	29.16
Exotica clathrata	3rd	10.23	5.95	1.34	32.12
Exotica clathrata	3rd	9.69	5.06	1.27	19.97
Exotica clathrata	3rd	11.11	6.46	1.55	41.57
Exotica clathrata	3rd	10.38	5.61	1.41	31.13
Exotica clathrata	3rd	10.88	5.77	1.61	32.07
Exotica clathrata	3rd	10.47	5.84	1.33	29.62
Exotica clathrata	3rd	9.38	5.25	1.17	18.49
Exotica clathrata	3rd	10.11	5.45	1.35	30.58
Tellinella virgata	3rd	10.44	5.93	1.34	28.05
Pinguitellina robusta	3rd	7.68	6.39	1.76	49.83
Pinguitellina robusta	3rd	9.48	7.72	2.24	86.28
Pinguitellina robusta	3rd	10.36	8.51	2.74	136.79
Pinguitellina robusta	3rd	10.37	9.00	2.44	118.21
Abranda jeanae	3rd	13.95	9.71	1.91	71.95
Abranda jeanae	3rd	14.40	10.17	2.15	106.04
Abranda jeanae	3rd	12.52	9.29	2.10	66.24
Abranda jeanae	3rd	13.11	8.54	2.00	62.86
Abranda jeanae	3rd	11.43	7.97	1.85	42.93
Abranda jeanae	3rd	17.37	11.59	2.61	202.61
Exotica clathrata	3rd	12.62	6.79	1.66	56.25
Exotica clathrata	3rd	10.90	6.09	1.38	36.96
Exotica clathrata	3rd	11.61	6.31	1.58	46.06
Exotica clathrata	3rd	9.33	5.08	1.34	22.16
Exotica clathrata	3rd	11.18	6.12	1.51	39.51
Exotica clathrata	3rd	12.15	6.61	1.71	61.15
Exotica clathrata	3rd	11.68	6.44	1.57	42.33
Exotica clathrata	3rd	10.86	5.83	1.67	38.27
Exotica clathrata	3rd	10.82	5.84	1.42	34.47
Scissulina dispar	3rd	9.63	6.06	1.46	30.88
Exotica clathrata	3rd	11.18	5.85	1.52	36.81
Exotica clathrata	3rd	12.36	6.59	1.67	53.91
Exotica clathrata	3rd	10.68	5.62	1.49	31.33
Exotica clathrata	3rd	10.88	5.84	1.54	34.22
Exotica clathrata	3rd	12.68	6.92	1.79	67.61
Exotica clathrata	3rd	11.23	5.77	1.49	32.55
Exotica clathrata	3rd	10.05	5.36	1.30	26.08
Exotica clathrata	3rd	10.31	5.78	1.44	27.87
Exotica clathrata	3rd	9.86	5.61	1.32	27.42
Exotica clathrata	3rd	8.67	4.91	1.17	15.67
Exotica clathrata	3rd	11.25	5.89	1.49	40.75
Exotica clathrata	3rd	12.45	6.67	1.70	73.99
Exotica clathrata	3rd	7.95	4.61	1.03	10.99
Tellinella virgata	3rd	22.62	13.29	2.73	329.77
Tellinella virgata	3rd	25.03	14.26	2.92	416.98
Abranda jeanae	3rd	9.47	6.66	1.48	23.31
