## GABRIEL DOMINGUEZ PHD THESIS (SUBMITTED TO MACQUARIE UNVERSITY 2017)
## SHELL TRACE ELEMENT RATIOS
Dist_mm,MgCaRatio,BaCaRatio,SrCaRatio
0,0.261251949,0.0021943,4.508572174
0.01669,0.203451572,0.003860391,3.575513797
0.033405,0.40038934,0.00032099,3.799793745
0.0501,0.254699497,0.001797425,3.762810713
0.06679,0.435981477,0.006287883,4.445890232
0.083505,0.304510616,0.005160558,4.308959344
0.100195,0.310142743,0.003125099,4.081509591
0.11689,0.344687239,0.005451321,3.939219767
0.133605,0.543736509,0.003207864,3.082371801
0.150295,0.716899001,0.011577331,4.983387565
0.16699,0.701623351,0.009330142,4.793319806
0.183755,1.040854446,0.014392318,5.33012568
0.200445,0.639792998,0.005832937,4.735897667
0.21714,0.481524266,0.007250509,4.001873067
0.233855,0.413211763,0.004007876,3.489078519
0.250545,0.47290024,0.006391351,4.508975785
0.267235,0.433625889,0.011460557,4.294531015
0.283955,0.456342666,0.004216211,3.834157902
0.300645,0.36177482,0.005815592,3.618871792
0.317335,0.539796861,0.006406137,4.078306348
0.334055,0.444543295,0.00916925,4.561164729
0.350745,0.465780657,0.008882549,4.353937037
0.367435,0.438710251,0.007820512,3.630897598
0.384155,0.486415263,0.010949185,4.456339087
0.400845,0.314611161,0.007481684,2.837597011
0.417535,0.447657156,0.010499994,4.605701341
0.43425,0.489928982,0.002668177,3.851074984
0.450945,0.545391046,0.010410833,3.812947861
0.46766,0.396051059,0.005895512,3.575518197
0.48435,0.438000679,0.007269854,4.291687055
0.50104,0.309208074,0.007740736,3.481525556
0.51776,0.433302486,0.004687531,4.010461753
0.53445,0.433427386,0.011050143,4.522481214
0.55114,0.492322659,0.006784084,3.850842741
0.56786,0.355603971,0.006351332,3.782449488
0.5846,0.271393688,0.001925899,3.945663269
0.60129,0.58990212,0.005171552,4.675508417
0.61801,0.314947083,0.005476879,3.942689321
0.6347,0.346883898,0.009884272,3.956918764
0.65139,0.336451323,0.004593021,4.2434423
0.66811,0.535796958,0.004139121,3.984271369
0.6848,0.458541039,0.001995096,4.212536839
0.70149,0.240171221,0.006017134,3.528252018
0.718205,0.352700596,0.007272516,3.651254029
0.7349,0.403022325,0.007519115,4.582299892
0.75159,0.321580984,0.005576307,4.293511728
0.768305,0.279136087,0.001296686,3.539398778
0.784995,0.320548013,0.004086693,3.495564192
0.80169,0.414532991,0.004081518,4.046740752
0.818405,0.447996995,0.00586598,3.440280404
0.835095,0.34167273,0.004320365,3.651648401
0.85179,0.298172684,0.004375026,3.660392798
