sample,taxonCode,testSize
9,fcac,1.2
9,fcac,1.7
9,fcac,1.2
9,fcac,1.1
9,fcac,0.9
9,fcac,1.1
9,fcac,1.1
9,fcac,1.4
9,fppl,0.7
9,fcac,1
9,fppl,1.1
9,fcac,1.2
9,fcac,1.1
9,fhed,1.1
9,fale,1.2
9,fcac,1.7
9,fhed,1
9,fcac,0.6
9,fcac,0.9
9,fcac,0.7
9,fbas,1
9,fhed,1
9,fcac,1.1
9,fcac,1
9,fcac,0.7
9,fcac,0.8
9,fcac,0.6
9,fcac,1.3
9,fbas,1.3
9,fcac,0.6
9,fcac,1.1
9,fnec,1.2
9,fbas,1.1
9,fcac,1.2
9,fcac,0.8
9,fcac,0.6
9,fbas,1.4
9,fcac,1.5
9,fcac,1.1
9,fcac,0.9
9,fcac,0.7
9,fcac,1
9,fcac,1.6
9,fcac,1.1
9,fcac,0.8
9,fbas,1.5
9,fmav,1.6
9,fcac,1.4
9,fcac,1.5
9,fcac,1.5
9,fcac,1.3
9,fcac,0.9
9,fcac,1.5
9,fcac,1.3
9,fcac,0.9
9,fcac,1.5
9,fcac,1.1
9,fcac,1.4
9,fcac,1.1
9,fcac,1.2
9,fcac,1
9,fcac,1.5
9,fcac,1.1
9,fcac,0.9
9,fcac,1
9,fcac,1
9,fcac,1.2
9,fcac,1.6
9,fcac,0.9
9,fcac,1.2
9,fcac,1.6
9,fcac,0.9
9,fcac,1.2
9,fcac,1
9,fcac,0.9
9,fcac,1.1
9,fcac,1.6
9,fcac,1
9,fcac,0.6
9,fcac,1.2
9,fbas,1
9,fcac,1.1
9,fcac,0.9
9,fcac,1.2
9,fcac,1.1
9,fcac,1.2
9,fcac,0.9
9,fcac,1.1
9,fcac,1.5
9,fcac,1.2
9,fmav,1.1
9,fcac,1.5
9,fcac,1.8
9,fcac,1.1
9,fcac,1
9,fcac,1.4
9,fcac,1
9,fcac,0.9
9,fbas,1
9,fcac,1.1
1,fcac,1
1,fcac,1.5
1,fcac,2.6
1,fcac,2
1,fcac,2
1,fnec,2
1,fcac,2
1,fcac,2
1,fcac,2
1,fcac,2.1
1,fcac,1.5
1,fcac,1.8
1,fcac,2.4
1,fcac,2.1
1,fcac,2.1
1,fcac,1.8
1,fcac,2
1,fbas,1.6
1,fcac,1.8
1,fcac,2
1,fcac,1.9
1,fbas,2.9
1,fcac,0.9
1,fcac,1.9
1,fnec,0.6
1,fcac,1.8
1,fbas,1.9
1,fcac,0.9
1,fcac,2
1,fcac,1.8
1,fcac,2
1,fcac,2.5
1,fcac,1.5
1,fcac,1.9
1,fcac,2
1,fcac,2
1,fcac,2.5
1,fmav,1
1,fcac,2.5
1,fcac,2
1,fcac,1.9
1,fppe,2
1,fppe,1.5
1,fppe,2
1,fcac,2
1,fcac,2
1,fppe,0.5
1,fcac,1
1,fcac,2
1,fppe,0.5
1,fcac,2.5
1,fcac,2
1,fnec,1
1,fmav,2
1,fcac,1.5
1,fppe,0.5
1,fcac,1.5
1,fcac,1.5
1,fbas,1
1,fcac,1.5
1,fcac,1.5
1,fcac,1.5
1,fcac,1.4
1,fcac,1.2
1,fcac,1.2
1,fcac,1.1
1,fcac,1
1,fbas,1
1,fbas,1.5
1,fcac,1
1,fcac,1.5
1,fcac,1.5
1,fcac,1
1,fcac,1
1,fcac,1
1,fcac,1
1,fcac,0.9
1,fcac,0.8
1,fcac,1
1,fcac,1.1
1,fcac,1.5
1,fcac,1.4
1,fcac,1.5
1,fcac,1.6
1,fcac,1.2
1,fcac,1.3
1,fppe,1
1,fcac,1
1,fcac,1
1,fcac,1.2
1,fcac,1.5
1,fcac,0.5
1,fcac,0.8
1,fcac,1
1,fcac,1
1,fcac,1
1,fcac,1.4
1,fcac,1.2
1,fcac,1.1
1,fbas,1
10,fcac,1.5
10,fcac,1.5
10,fcac,1.2
10,fcac,0.7
10,fcac,1.2
10,fcac,1
10,fcac,1.3
10,fcac,1.1
10,fcac,0.6
10,fcac,1
10,fcac,1
10,fcac,1
10,fcac,1
10,fcac,0.6
10,fcac,1
10,fcac,1.1
10,fcac,1.2
10,fcac,1.3
10,fcac,1.2
10,fcac,1
10,fcac,1.2
10,fcac,0.8
10,fcac,0.6
10,fcac,0.8
10,fcac,1.5
10,fcac,1.3
10,fcac,0.8
10,fcac,0.5
10,fcac,1.1
10,fcac,0.6
10,fcac,1
10,fcac,0.8
10,fcac,1.6
10,fcac,0.6
10,fcac,1
10,fcac,1.1
10,fcac,1.2
10,fcac,0.9
10,fcac,1.2
10,fcac,1
10,fcac,1.5
10,fcac,0.9
10,fcac,1
10,fcac,1.3
10,fcac,0.9
10,fcac,1
10,fcac,1.3
10,fcac,1
10,fcac,1.2
10,fcac,1.1
10,fcac,1
10,fcac,0.6
10,fcac,1.3
10,fcac,0.9
10,fcac,0.7
10,fcac,1
10,fcac,0.7
10,fcac,1.8
10,fcac,1.2
10,fcac,1.1
10,fcac,0.8
10,fcac,1.1
10,fcac,1.5
10,fcac,1.2
10,fcac,1.2
10,fcac,1.1
10,fcac,1
10,fcac,0.7
10,fcac,1
10,fcac,0.7
10,fcac,1
10,fcac,1.2
10,fcac,1.3
10,fcac,1
10,fcac,1.8
10,fcac,1
10,fcac,1
10,fcac,1
10,fcac,1
10,fcac,0.9
10,fcac,0.6
10,fbas,0.6
10,fbas,0.7
10,fbas,1
10,fbas,0.8
10,fbas,0.7
10,fbas,0.8
10,fbas,0.8
10,fbas,0.8
10,fbas,0.7
10,fbas,0.9
10,fnec,0.5
10,fnec,0.5
10,fnec,0.6
10,fnec,0.5
10,fnec,0.5
10,fnec,0.6
10,fsoo,1.1
10,fsoo,1.3
10,fsoo,1.1
10,fcac,0.4
10,fcac,0.5
10,fnec,1
10,fcac,0.9
10,fcac,0.9
10,fnec,1.1
10,fcac,0.9
10,fnec,0.8
10,fcac,0.6
10,fcac,0.8
10,fnec,0.9
10,fcac,0.8
10,fcac,0.7
10,fnec,0.8
10,fnec,0.9
10,fnec,0.8
10,fcac,0.9
10,fcac,0.9
10,fcac,1
10,fcac,0.9
10,fcac,0.9
10,fcac,0.7
10,fcac,0.9
10,fnec,0.8
10,fnec,0.9
10,fnec,1
10,fnec,0.7
10,fcac,0.4
10,fnec,0.8
10,fcac,0.4
10,fcac,0.7
10,fcac,0.9
10,fcac,0.4
10,fcac,0.4
10,fcac,0.3
10,fcac,0.8
10,fcac,0.9
10,fcac,0.7
10,fnec,0.9
10,fnec,0.9
10,fcac,0.4
10,fnec,0.9
10,fnec,1
10,fnec,0.8
10,fcac,0.5
10,fcac,0.6
10,fcac,0.4
10,fcac,0.7
10,fcac,0.4
10,fnec,0.9
10,fnec,1
10,fnec,0.9
10,fnec,0.8
10,fppl,0.4
10,fcac,0.7
10,fnec,0.8
10,fnec,0.9
10,fnec,0.8
10,fnec,1
10,fcac,0.5
10,fcac,0.5
10,fppl,0.5
10,fcac,0.6
